City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,belyy yar,53.6039,91.3903,-22.06,79,7,2.0,RU,1671242778
232,charlestown,-32.95,151.6667,15.41,94,70,1.79,AU,1671302406
233,kushima,31.4583,131.2333,4.72,95,44,4.66,JP,1671314903
234,luderitz,-26.6481,15.1594,22.65,73,14,8.77,NA,1671249673
235,tasiilaq,65.6145,-37.6368,-8.91,53,0,2.92,GL,1671281469
236,moroto,2.5345,34.6666,25.0,36,85,5.46,UG,1671248287
237,billings,45.7833,-108.5007,-6.13,63,40,7.72,US,1671288594
238,ugoofaaru,5.6667,73.0,27.58,72,40,4.73,MV,1671239410
239,bengkulu,-3.8004,102.2655,24.18,90,45,1.7,ID,1671231401
240,harlingen,26.1906,-97.6961,8.97,98,100,7.72,US,1671282716
241,ambilobe,-13.2,49.05,24.86,86,100,1.17,MG,1671243170
242,tuy hoa,13.0833,109.3,22.13,93,100,11.1,VN,1671231481
243,vacaria,-28.5122,-50.9339,20.82,54,85,2.01,BR,1671265281
244,hamilton,39.1834,-84.5333,1.6,65,100,6.69,US,1671281508
245,souillac,-20.5167,57.5167,25.21,73,40,5.14,MU,1671240290
246,broken hill,-31.95,141.4333,20.78,31,100,6.67,AU,1671305018
247,maues,-3.3836,-57.7186,33.01,51,100,1.18,BR,1671269853
248,pecos,31.4229,-103.4932,4.61,55,0,0.0,US,1671284821
249,fairbanks,64.8378,-147.7164,-30.02,72,0,0.0,US,1671306899
250,medina,24.4686,39.6142,24.24,29,0,3.09,SA,1671249530
251,leh,34.1667,77.5833,-7.42,49,0,0.71,IN,1671241753
252,loiza,18.4313,-65.8802,26.01,94,75,3.09,PR,1671274136
253,port elizabeth,-33.918,25.5701,21.84,88,75,4.12,ZA,1671246101
254,tilichiki,60.4667,166.1,-4.71,95,100,5.92,RU,1671314384
255,karratha,-20.7377,116.8463,26.29,68,14,8.08,AU,1671312444
256,berlevag,70.8578,29.0864,-7.03,73,72,4.63,NO,0
257,bauchi,10.5,10.0,29.57,15,100,2.33,NG,1671255044
